epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,27711.4,0.7041,1.96872,0.21622,0.32353,0.01192,0.33156,0.97839,0.97502,0.99153,0.91211,0.9154,0.89881,0.92693,0.82024,0.51277,1.24226,0.06495,0.18977,0.01102,0,0.0147459,0.0049153,0.0147459,0.0049153,0.0147459,0.0049153,0.0147459,0.0049153
53,28179.8,0.69581,1.9118,0.21449,0.3177,0.01169,0.16403,0.97844,0.97754,0.99174,0.91284,0.91643,0.89894,0.92737,0.82152,0.51188,1.23713,0.06492,0.18843,0.011,0,0.0144468,0.0048156,0.0144468,0.0048156,0.0144468,0.0048156,0.0144468,0.0048156
54,28639.4,0.69452,1.90288,0.21403,0.32272,0.01177,0.23584,0.97815,0.97642,0.99144,0.91259,0.91616,0.8996,0.92765,0.82198,0.51057,1.23367,0.06488,0.18963,0.01097,0,0.0141477,0.0047159,0.0141477,0.0047159,0.0141477,0.0047159,0.0141477,0.0047159
55,29095,0.6928,1.86663,0.21235,0.32029,0.0116,0.03786,0.9789,0.97547,0.99146,0.9128,0.91688,0.89968,0.92801,0.82276,0.5096,1.22883,0.0647,0.18956,0.01095,0,0.0138486,0.0046162,0.0138486,0.0046162,0.0138486,0.0046162,0.0138486,0.0046162
56,29567.7,0.6887,1.85423,0.21144,0.30695,0.01148,0.0979,0.9793,0.97674,0.99155,0.91336,0.9238,0.89302,0.9284,0.82385,0.50851,1.22373,0.06454,0.1884,0.01092,0,0.0135495,0.0045165,0.0135495,0.0045165,0.0135495,0.0045165,0.0135495,0.0045165
57,30033.2,0.70195,1.931,0.21397,0.32231,0.01167,0.20956,0.97942,0.97719,0.99154,0.91364,0.91967,0.89877,0.92835,0.82487,0.50737,1.21943,0.06434,0.18839,0.0109,0,0.0132504,0.0044168,0.0132504,0.0044168,0.0132504,0.0044168,0.0132504,0.0044168
58,30490.9,0.68334,1.83267,0.21014,0.31499,0.01149,-0.03028,0.98018,0.97699,0.99162,0.9141,0.91777,0.90047,0.92896,0.82609,0.50663,1.21528,0.06414,0.18675,0.01087,0,0.0129513,0.0043171,0.0129513,0.0043171,0.0129513,0.0043171,0.0129513,0.0043171
59,30957.9,0.67227,1.81241,0.20916,0.30722,0.01125,-0.00429,0.98011,0.97668,0.99169,0.91453,0.91907,0.90073,0.9294,0.82723,0.50544,1.21138,0.06396,0.18637,0.01084,0,0.0126522,0.0042174,0.0126522,0.0042174,0.0126522,0.0042174,0.0126522,0.0042174
60,31416.9,0.68923,1.86371,0.21318,0.32272,0.01162,0.10719,0.97994,0.97642,0.99171,0.91511,0.92025,0.90034,0.93002,0.82814,0.50512,1.20702,0.06365,0.18585,0.01083,0,0.0123531,0.0041177,0.0123531,0.0041177,0.0123531,0.0041177,0.0123531,0.0041177
61,31875.4,0.67754,1.74479,0.20694,0.30071,0.01148,-0.09393,0.97881,0.97703,0.9917,0.91535,0.91915,0.89974,0.92986,0.82896,0.50453,1.20371,0.06342,0.18603,0.01082,0,0.012054,0.004018,0.012054,0.004018,0.012054,0.004018,0.012054,0.004018
62,32330.8,0.67095,1.76255,0.20805,0.30082,0.01128,-0.11987,0.97904,0.97646,0.99169,0.91559,0.91915,0.9006,0.93031,0.82978,0.50396,1.20004,0.06329,0.18571,0.0108,0,0.0117549,0.0039183,0.0117549,0.0039183,0.0117549,0.0039183,0.0117549,0.0039183
